ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_UT-196,0.28,1.34,1.6,1.1,2.3,0.28,0.15,0.45,0.028561538,0.002526427,0.01472,0.015950769,0.009718269,0.000736616,0.00784,0.002791385
NLA12_UT-210,0.1,2.72,2.3,1.7,3,0.44,0.31,0.6,0.03750303,0.014743033,0.02116,0.031313455,0.013427273,0.00482043,0.01232,0.0059904
NLA12_UT-229,0.31,3.516,0.64,0.35,1.1,0.064,0.037,0.1,0.000115254,0.005072784,0.005888,0,4.66E-05,0.001628742,0.001792,0
NLA12_UT-324,0.37,1.850666667,0.34,0.23,0.5,0.039,0.027,0.054,0.00128,0.00175201,0.003128,0.000161568,0.0004775,0.000553974,0.001092,1.85E-05
NLA12_UT-325,2.13,4.48,0.24,0.16,0.33,0.03,0.019,0.042,0.002953086,0.000121525,0.002208,0.000881542,0.000903626,3.73E-05,0.00084,0.000110193
NLA12_UT-343,0.71,0.3148,0.06,0.038,0.092,0.0067,0.0038,0.012,0.000320882,0.000154244,0.000552,1.20E-06,0.000128074,2.22E-05,0.0001876,1.34E-07
NLA12_UT-359,0.36,173.2,3.7,2.1,5.8,0.23,0.14,0.37,0.00905,0.020666582,0.02331,0.009065552,0.001951493,0.002602687,0.00437,0.000563534
NLA12_UT-400,0.1,10.24,1.2,0.82,1.6,0.25,0.16,0.36,0.005619048,0.014122142,0.00756,0.013083429,0.003335714,0.003925902,0.00475,0.002725714
NLA12_WA-103,4.1,1.770666667,0.13,0.056,0.25,0.014,0.0049,0.031,0.001431801,2.72E-05,0.000767,0.000777687,0.000439081,2.79E-05,0.000392,8.38E-05
NLA12_WA-106,0.8,36.64,0.23,0.16,0.31,0.023,0.016,0.031,0.000695976,0.004175916,0.002116,0.002766886,0.000275453,0.000644799,0.000644,0.000276689
NLA12_WA-107,1.03,42.88,0.27,0.14,0.46,0.054,0.017,0.12,0.016196761,0.00254864,0.001593,0.01699507,0.004617659,0.000334933,0.001512,0.003399014
NLA12_WA-108,1.16,3.701333333,0.3,0.21,0.42,0.032,0.018,0.053,0.003679127,0.000734845,0.00276,0.00162917,0.000846816,0.000234216,0.000896,0.000173778
NLA12_WA-111,0.73,1.568,0.23,0.15,0.32,0.034,0.021,0.052,0.002343249,0.000273791,0.001449,0.00131443,0.000649315,0.000149008,0.000646,0.000194307
NLA12_WA-112,0.21,45.33333333,0.59,0.39,0.8,0.045,0.029,0.064,0.000481026,0.011206001,0.005428,0.006587668,0.000113846,0.001651072,0.00126,0.000502449
NLA12_WA-116,0.42,4.432,0.72,0.41,1.2,0.069,0.041,0.11,0.00248125,0.001696998,0.004536,0.000286484,0.000378618,0.000841114,0.001311,2.75E-05
NLA12_WA-120,0.2,1.4868,0.35,0.17,0.59,0.081,0.045,0.13,0.000251807,0.003476854,0.00322,0.000910843,0.001277108,0.001045514,0.002268,0.000210795
NLA12_WA-121,0.15,4.986666667,0.92,0.42,1.6,0.15,0.082,0.24,0.004117241,0.007124485,0.005428,0.007811752,0.001289655,0.004077638,0.0042,0.001273655
NLA12_WA-124,0.33,41.84,1.7,0.86,3,0.1,0.058,0.17,0.000502577,0.012267146,0.01071,0.003558433,0.00015,0.001793262,0.0019,0.00020932
NLA12_WA-126,0.12,6.331428571,0.76,0.55,1,0.12,0.082,0.18,0.01067069,0.015877941,0.006992,0.019585986,0.002362069,0.004418013,0.00336,0.003092524
NLA12_WA-131,0.1,2.176,0.63,0.27,1.1,0.13,0.058,0.22,0.000340323,0.003470734,0.003969,0.000526761,0.000120968,0.002052167,0.00247,0.000108697
NLA12_WA-133,0.22,9.92,0.87,0.53,1.3,0.11,0.064,0.17,0.003640426,0.010663516,0.005133,0.010155677,0.001221277,0.003139468,0.00308,0.001284051
NLA12_WA-138,0.18,3.136,0.5,0.16,1.1,0.093,0.044,0.17,0.001311111,0.003241999,0.00295,0.003291429,0.000360317,0.002669613,0.002604,0.000612206
NLA12_WA-141,0.44,2.453333333,0.2,0.071,0.44,0.024,0.011,0.046,0.00055709,0.000514874,0.00118,0.000425552,0.000175373,0.000481651,0.000672,5.11E-05
NLA12_WA-151,17.56,0.652,0.071,0.045,0.1,0.0074,0.0049,0.01,0.001094868,3.81E-06,0.0006532,0.000437091,0.000254428,8.19E-07,0.0002072,4.56E-05
NLA12_WA-157,0.22,1.744,0.14,0.041,0.3,0.042,0.017,0.078,0.003876852,0.000731088,0.000826,0.0046256,0.001677778,0.000753317,0.001176,0.00138768
NLA12_WY-101,0.14,0.519,0.39,0.2,0.71,0.032,0.012,0.076,0.001461667,0.000515941,0.002457,0.00011232,0.000256667,0.000139163,0.000608,9.22E-06
NLA12_WY-103,19.61,0.54,0.11,0.063,0.17,0.016,0.0088,0.025,0.001035722,8.58E-06,0.000693,0.000426308,0.000352703,2.39E-06,0.000304,6.20E-05
NLA12_WY-104,12.68,1.02,0.0096,0.0047,0.016,0.0046,0.0018,0.0093,6.37E-06,1.90E-05,2.78E-05,3.38E-07,5.56E-05,2.56E-06,5.98E-05,1.62E-07
NLA12_WY-107,0.49,3.44,3.8,2.5,5.4,0.87,0.47,1.4,0.292902069,0.006129771,0.01102,0.290506593,0.077844828,0.001202531,0.01131,0.06651072
NLA12_WY-115,1.77,2.168,0.17,0.091,0.28,0.02,0.012,0.031,0.001244098,8.78E-05,0.001071,0.000372618,0.000346598,5.19E-05,0.00038,4.38E-05
NLA12_WY-116,0.11,0,0.25,0.15,0.35,0.049,0.031,0.07,0.005541818,0,0.0023,0.003259636,0.002047273,0,0.001372,0.000638889
NLA12_WY-120,1.73,2.356,0.22,0.14,0.31,0.033,0.017,0.055,0.002798417,0.000133892,0.002024,0.00105659,0.001061421,4.36E-05,0.000924,0.000158488
NLA12_WY-124,106.11,0.524,0.07,0.047,0.098,0.0084,0.0054,0.012,0.000749316,1.01E-06,0.000644,0.000132654,0.000251021,1.94E-07,0.0002352,1.59E-05
NLA12_WY-130,0.2,5.408,1.4,0.72,2.3,0.19,0.092,0.34,0.000125843,0.007237112,0.00882,0.00013591,3.26E-05,0.003173362,0.00361,1.84E-05
NLA12_WY-131,0.78,2.36,0.54,0.22,1,0.17,0.075,0.29,0.018204086,0.000513779,0.003402,0.015321228,0.007688172,0.000305343,0.00323,0.00482335
NLA12_WY-137,0.17,0.829333333,0.14,0.075,0.25,0.026,0.011,0.049,0.003332258,0.000952757,0.000882,0.003745858,0.000583871,0.000362037,0.000494,0.000695659
NLA12_WY-151,2.67,2.96,0.054,0.034,0.084,0.0047,0.0025,0.008,0.000381344,0.000100093,0.0004968,1.09E-05,9.70E-05,3.26E-05,0.0001316,9.51E-07
