ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_MT-113,1.68,0.60020141,0.035,0.015,0.06,0.0053,0.0027,0.0083,0.000366197,0.000770008,0.0001015,0.001167541,0.000135915,8.09E-05,6.89E-05,0.000176799
NLA12_MT-118,0.5,13.28,5.6,4.1,7.6,0.78,0.44,1.3,0.010379904,0.006508134,0.01624,0.001157512,0.008779904,0.001327365,0.01014,0.000161225
NLA12_MT-124,1.23,0.742,0.13,0.074,0.21,0.012,0.0051,0.022,0.00127351,6.20E-05,0.001196,0.000165042,0.000326449,1.42E-05,0.000336,1.52E-05
NLA12_MT-126,0.18,1.572,3.6,2.5,4.9,0.4,0.29,0.5,0.012469841,0.010460425,0.01044,0.012836571,0.004612698,0.00167122,0.0052,0.001426286
NLA12_MT-136,6.89,0.684,0.035,0.024,0.05,0.0042,0.0027,0.006,0.000331283,8.01E-06,0.000322,3.30E-05,0.000118769,1.76E-06,0.0001176,3.96E-06
NLA12_MT-140,0.16,0.338,0.11,0.052,0.21,0.011,0.0041,0.028,0.000335714,0.000508959,0.001012,4.75E-05,0.000122857,7.64E-05,0.000308,4.75E-06
NLA12_MT-143,0.27,0.63,1.9,0.57,3.6,0.097,0.032,0.2,0.000654054,0.006039176,0.00551,0.002218378,0.000381081,0.000649744,0.001261,0.000113254
NLA12_MT-144,0.97,5,0.88,0.59,1.2,0.12,0.07,0.2,8.35E-05,0.002743022,0.002552,0.000370888,0.000984553,0.000563838,0.00156,5.06E-05
NLA12_MT-154,0.6,35.77142857,0.47,0.39,0.57,0.067,0.053,0.08,0.001479006,0.009478133,0.001363,0.009512592,0.000558564,0.001731374,0.000871,0.00135605
NLA12_MT-156,0.73,1.346666667,0.078,0.039,0.14,0.051,0.016,0.11,0.000267486,0.000353577,0.0002262,0.000420526,0.000883029,5.34E-05,0.000663,0.000274959
NLA12_MT-160,0.68,30.312,0.42,0.33,0.52,0.12,0.075,0.18,0.013672973,0.00896225,0.001218,0.021439343,0.006218919,0.001672003,0.00156,0.006125526
NLA12_MT-161,2.04,5.32,0.69,0.54,0.86,0.064,0.05,0.079,0.001010873,0.001841954,0.002001,0.000892646,0.000494652,0.000380393,0.000832,8.28E-05
NLA12_MT-162,0.25,1.624,0.3,0.2,0.43,0.057,0.03,0.096,0.003749756,0.001523177,0.00276,0.002667863,0.001606341,0.000468578,0.001596,0.000506894
NLA12_MT-164,0.82,1.782,0.093,0.069,0.12,0.015,0.011,0.019,0.000717358,0.000639563,0.0008556,0.000551851,0.000277925,0.000200785,0.00042,8.90E-05
NLA12_MT-177,0.15,2.197333333,4.2,3.1,5.4,0.86,0.61,1.2,0.03118,0.018802725,0.01218,0.0381024,0.0155475,0.00333785,0.01118,0.00780192
NLA12_NM-104,0.26,4.52,0.47,0.26,0.75,0.15,0.073,0.3,0.000216578,0.00282146,0.002961,0.000456026,0.001491979,0.001382999,0.00285,0.00014554
NLA12_NM-105,3.08,8.586666667,0.39,0.27,0.54,0.04,0.023,0.067,1.53E-05,0.001073983,0.001131,1.81E-05,0.000280518,0.000224075,0.00052,1.85E-06
NLA12_NM-117,0.24,4.658333333,0.75,0.41,1.3,0.071,0.041,0.11,1.06E-05,0.006030595,0.0069,0,5.45E-05,0.001835199,0.001988,0
NLA12_NM-132,0.37,23.521,1.4,0.65,2.5,0.21,0.098,0.41,0.000626316,0.010590134,0.01288,0.000424421,0.004067836,0.001843477,0.00588,6.37E-05
NLA12_NM-134,0.62,1.83,0.14,0.05,0.27,0.03,0.013,0.055,2.92E-05,0.000686621,0.000882,1.45E-05,8.44E-05,0.000393134,0.00057,3.11E-06
NLA12_NM-138,0.13,1.915,0.52,0.072,1.5,0.32,0.09,0.77,0.000496296,0.003014245,0.003796,0.0015808,0.003283333,0.00245466,0.00512,0.0009728
